"10471","1","7/2/1991","BRAZOS ELECTRIC POWER COOP.","APPL. OF BRAZOS ELECTRIC POWER COOP., INC. FOR    AUTHORITY TO REFUND AN OVER-RECOVERY OF FUEL COST REVENUES","[]"
"10471","2","7/9/1991","BRAZOS ELECTRIC POWER","AFFIDAVIT OF NOTICE","[]"
"10471","3","7/11/1991","HEARINGS","EXAMINER'S ORDER #1 : REQUIRING CLARIFICATION OR  REQUEST TO MODIFY FUEL COST FACTOR","[]"
"10471","4","7/17/1991","BRAZOS ELECTRIC PWER COOP","RESPONSE TO EXAMINER'S ORDER #1 REQUIRING         CLARIFICATION OF REQUEST TO MODIFY FUEL COST      FACTOR","[]"
"10471","5","7/23/1991","GC","LETTER TO JUDGE MORTON RE : RESPONSE TO           EXAMINER'S ORDER #1","[]"
"10471","6","7/25/1991","HEARINGS","EXAMINER'S ORDER #2 : SEVERING REQUEST TO MODIFY  COST FUEL FACTOS FROM REFUND PRJ","[]"
"10471","7","7/26/1991","BRAZOS ELECTRIC POWER COOP","SUPPLEMENTAL APPLICATION","[]"
"10471","8","8/14/1991","GC","STAFF RECOMMENDATION","[]"
"10471","9","8/21/1991","GC","LETTER TO EXAMINER MORTON RE : STAFF COMMENTS     REGARDING THE SUPPLEMENTAL FILING OF BRAZOS       ELECTRIC POWER...","[]"
"10471","10","8/29/1991","HEARINGS","FINAL ORDER","[]"
"10471","11","2/25/1996","HEARINGS","SERVICE LIST","[]"
"21711","129","5/5/2000","KENNEDY REPORTING","TRANSCRIPT-PHC,MON,4/28/00","[]"
"21711","174","6/21/2000","KENNEDY REPORTING","TRANSCRIPT-HOM,WED,6/7/00 VOL 3","[]"
"21711","175","6/21/2000","KENNEDY REPORTING","TRANSCRIPT-HOM,MON,6/5/00 VOL 1","[]"
"21711","176","6/22/2000","KENNEDY REPORTING","TRANSCRIPT-HOM,TUE,6/6/00 VOL 2","[]"
"21711","232","2/1/2002","PUC POLICY DEVELOPMENT","TRANSCRIPT PHC - MARCH 28, 2000","[]"
"21711","233","2/1/2002","PUC POLICY DEVELOPMENT","TRANSCRIPT HOM - JUNE 06, 2000","[]"
"21711","234","2/1/2002","PUC POLICY DEVELOPMENT","CSW EXHIBITS #1-12","[]"
"21711","235","2/1/2002","PUC POLICY DEVELOPMENT","TXU EXHIBITS #1-2","[]"
"21711","236","2/1/2002","PUC POLICY DEVELOPMENT","SAN ANTONIO EXHIBITS #1-5","[]"
"21711","237","2/1/2002","PUC POLICY DEVELOPMENT","ORA EXHIBITS #1-1A, 3-5A","[]"
"21711","238","2/1/2002","PUC POLICY DEVELOPMENT","TMPA EXHIBITS #1-14, 16-21","[]"
"21711","239","2/13/2002","PUC POLICY DEVELOPMENT","EXHIBITS RJC-2 AND RJC-4 , TMPA -12
( RETURN FROM POLICY DEVELOPMENT )","[]"
"21711","240","2/24/2003","PUC POLICY DEVELOPMENT","STATEMENT OF ACCOUNTS FOR GENESIS COMMUNICATIONS INTL INC (RETURN FROM POLICY DEVELOPMENT)","[]"
"21711","241","8/12/2016","CENTRAL RECORDS","FILE PURGED 8/16","[]"
