"20200151","03892-2020","","07/20/2020","GCL/Stiller - Memo dated 7/20/20 to all parties of record and interested persons, advising of informal [telephonic] meeting to be held 7/24/20 at 2:00 p.m.","[""http://www.psc.state.fl.us/library/filings/2020/03892-2020/03892-2020.pdf""]"
"20200151","03863-2020","","07/17/2020","TRANSCRIPT - 7/7/20 Commission conference, Item 6.","[""http://www.psc.state.fl.us/library/filings/2020/03863-2020/03863-2020.pdf""]"
"20200151","03700-2020","","07/09/2020","CORRESPONDENCE-Consumers & Representatives: CAO/Vizcarrondo - From Gorby.","[""http://www.psc.state.fl.us/library/filings/2020/03700-2020/03700-2020.pdf""]"
"20200151","03686-2020","","07/09/2020","Vote sheet from 7/7/20 Commission conference, Item 6.","[""http://www.psc.state.fl.us/library/filings/2020/03686-2020/03686-2020.pdf""]"
"20200151","03267-2020","","06/24/2020","RECOM for 7/7/20 Commission conference, Item 6, from AFD and GCL staff.","[""http://www.psc.state.fl.us/library/filings/2020/03267-2020/03267-2020.pdf"",""http://www.psc.state.fl.us/library/filings/2020/03267-2020/03267-2020_20200151.rcm.docx""]"
"20200151","03153-2020","","06/18/2020","CORRESPONDENCE-Consumers & Representatives:  CLK/Hover - Notification to CLEO Institute and Vote Solar/Ottenweller that comments will be placed in docket correspondence and forwarded to CAO.","[""http://www.psc.state.fl.us/library/filings/2020/03153-2020/03153-2020.pdf""]"
"20200151","03126-2020","","06/17/2020","CORRESPONDENCE-Parties & Interested Persons:  CLK/Schultz - Notification to SACE/Cavros that SACE has been added to the docket as an interested person.","[""http://www.psc.state.fl.us/library/filings/2020/03126-2020/03126-2020.pdf""]"
"20200151","02999-2020","","06/09/2020","OPC (Morse) - Notice of service of Citizens' 1st set of interrogatories [(Nos. 1-5)] and 1st request for PODs [(Nos. 1-6)] to GPC.","[""http://www.psc.state.fl.us/library/filings/2020/02999-2020/02999-2020.pdf""]"
"20200151","02940-2020","","06/05/2020","CORRESPONDENCE-Administrative:  Acknowledgement letter.","[""http://www.psc.state.fl.us/library/filings/2020/02940-2020/02940-2020.pdf""]"
"20200151","02860-2020","","06/01/2020","CORRESPONDENCE-Parties & Interested Persons:  CLK/Schultz - Confirmation to AARP/Smith that they have been added to the docket as an interested person.","[""http://www.psc.state.fl.us/library/filings/2020/02860-2020/02860-2020.pdf""]"
