"A1812009","344033120","July 21, 2020","NOTICE","Pacific Gas and Electric Company","Three-Day Advance Notice of Ex Parte Communication. Pacific Gas and Electric Company gives an advance notice of ex parte communication with Commissioner Liane Randolph’s Chief of Staff, Christine Powell, and Legal and Policy Advisors, Anand Durvasula and Suzanne Casazza on July 24, 2020 at approximately 10:30 am. ","[""https://docs.cpuc.ca.gov/PublishedDocs/Efile/G000/M344/K033/344033120.PDF"",""https://docs.cpuc.ca.gov/PublishedDocs/Efile/G000/M344/K014/344014343.PDF""]"
"A1812009","340869026","June 22, 2020","BRIEF","East Bay Community Energy,Sonoma Clean Power,Pioneer Community Energy,Silicon Valley Clean Energy,Marin Clean Energy,Peninsula Clean Energy,San Jose Clean Energy","JOINT SUR-REPLY BRIEF","[""https://docs.cpuc.ca.gov/PublishedDocs/Efile/G000/M340/K869/340869026.PDF"",""https://docs.cpuc.ca.gov/PublishedDocs/Efile/G000/M340/K852/340852549.PDF""]"
"A1812009","339544739","June 05, 2020","RULING","ALJ/LIRAG/CPUC,ALJ/LAU/CPUC","E-mail Ruling Granting in Part Pacific Gas and Electric Company’s Motion for Official Notice of Facts and Joint Community Choice Aggregators’ Motion to File Sur-Reply. ","[""https://docs.cpuc.ca.gov/PublishedDocs/Efile/G000/M339/K544/339544739.PDF"",""https://docs.cpuc.ca.gov/PublishedDocs/Efile/G000/M339/K545/339545164.PDF""]"
"A1812009","337862602","May 15, 2020","RULING","ALJ/LAU/CPUC,ALJ/LIRAG/CPUC","E-Mail Ruling directing settling parties to submit documents showing impact of Article 3.2 of Settlement Agreement. ","[""https://docs.cpuc.ca.gov/PublishedDocs/Efile/G000/M337/K862/337862602.PDF"",""https://docs.cpuc.ca.gov/PublishedDocs/Efile/G000/M337/K862/337862017.PDF""]"
"A1812009","330687656","April 07, 2020","EXPARTE","CPUC / Commissioner Randolph's Office / Anand Durvasula","[Decisionmaker] Notice of Ex Parte Communication. Commissioner Randolph’s advisors Anand Durvasula and Suzanne Casazza had an ex parte communication with Pacific Gas and Electric Company on March 25, 2020 at approximately 1:30 pm. ","[""https://docs.cpuc.ca.gov/PublishedDocs/Efile/G000/M330/K687/330687656.PDF"",""https://docs.cpuc.ca.gov/PublishedDocs/Efile/G000/M331/K080/331080380.PDF""]"
"A1812009","332174962","April 06, 2020","EXPARTE","CPUC / Commissioner Randolph's Office / Anand Durvasula","[Decisionmaker] Notice of Ex Parte Communication. Commissioner Randolph’s advisors Anand Durvasula and Suzanne Casazza had an ex parte communication with East Bay Community Energy, Marin Clean Energy, Peninsula Clean Energy, Pioneer Community Energy, San Jose Clean Energy, Silicon Valley Clean Energy and Sonoma Clean Power on March 2, 2020 at approximately 1:00 pm. ","[""https://docs.cpuc.ca.gov/PublishedDocs/Efile/G000/M332/K174/332174962.PDF"",""https://docs.cpuc.ca.gov/PublishedDocs/Efile/G000/M332/K038/332038923.PDF""]"
"A1812009","333470701","March 30, 2020","COMPLIANCE  FILING","Pacific Gas and Electric Company","2019 RISK SPENDING ACCOUNTABILITY REPORT IN COMPLIANCE WITH D19-04-020","[""https://docs.cpuc.ca.gov/PublishedDocs/Efile/G000/M333/K470/333470701.PDF"",""https://docs.cpuc.ca.gov/PublishedDocs/Efile/G000/M333/K019/333019579.PDF"",""https://docs.cpuc.ca.gov/PublishedDocs/Efile/G000/M333/K156/333156316.PDF""]"
"A1812009","330052201","March 20, 2020","NOTICE","Pacific Gas and Electric Company","Three-Day Advance Notice of Ex Parte Communication [Pacific Gas and Electric Company gives advance notice of ex parte communication with Anand Durvasula and Suzanne Casazza, Legal and Policy Advisors to Commissioner Liane Randolph on March 25, 2020 at 1:30 pm.]","[""https://docs.cpuc.ca.gov/PublishedDocs/Efile/G000/M330/K052/330052201.PDF"",""https://docs.cpuc.ca.gov/PublishedDocs/Efile/G000/M330/K052/330052546.PDF""]"
"A1812009","328765807","March 05, 2020","EXPARTE","Pioneer Community Energy,Marin Clean Energy,San Jose Clean Energy,Sonoma Clean Power,East Bay Community Energy,Silicon Valley Clean Energy,Peninsula Clean Energy","Joint CCAs noticed an oral and written ex parte communication with Suzanne Casazza and Anand Durvasula, Advisors to Commissioner Liane Randolph on March 2, 2020 at the Commission’s offices in San Francisco, California.","[""https://docs.cpuc.ca.gov/PublishedDocs/Efile/G000/M328/K765/328765807.PDF"",""https://docs.cpuc.ca.gov/PublishedDocs/Efile/G000/M328/K699/328699405.PDF""]"
"A1812009","331349458","February 13, 2020","RESPONSE","Pacific Gas and Electric Company","Response to Motion for Leave to File Sur-Reply Brief","[""https://docs.cpuc.ca.gov/PublishedDocs/Efile/G000/M331/K349/331349458.PDF"",""https://docs.cpuc.ca.gov/PublishedDocs/Efile/G000/M331/K080/331080316.PDF""]"
"A1812009","327750374","February 11, 2020","RESPONSE","Marin Clean Energy,East Bay Community Energy,San Jose Clean Energy,Sonoma Clean Power,Pioneer Community Energy,Peninsula Clean Energy","JOINT RESPONSE TO PACIFIC GAS AND ELECTRIC COMPANY’S MOTION FOR OFFICIAL NOTICE OF FACTS","[""https://docs.cpuc.ca.gov/PublishedDocs/Efile/G000/M327/K750/327750374.PDF"",""https://docs.cpuc.ca.gov/PublishedDocs/Efile/G000/M327/K746/327746356.PDF""]"
"A1812009","327196301","February 05, 2020","COMMENTS","Small Business Utility Advocates,Center for Accessible Technology,Coalition of California Utility Employees,Pacific Gas and Electric Company,The Utility Reform Network,The Safety and Enforcement Division of the California Public Utilities Commission,National Diversity Coalition,CAL Advocates Office of the California Public Utilities Commission,California City County Street Light Association","JOINT REPLY COMMENTS ","[""https://docs.cpuc.ca.gov/PublishedDocs/Efile/G000/M327/K196/327196301.PDF"",""https://docs.cpuc.ca.gov/PublishedDocs/Efile/G000/M326/K933/326933596.PDF""]"
