"A2004023","Pacific Gas and Electric Company","Electric","April 30, 2020","Ratesetting","ACTIVE","In the Matter of the Application of Pacific Gas and Electric Company for (1) Administration of Stress Test Methodology Developed Pursuant to Public Utilities Code Section 451.2(b) and (2) Determination That $7.5 Billion of 2017 Catastrophic Wildfire Costs and Expenses Are Stress Test Costs That May Be Financed Through Issuance of Recovery Bonds Pursuant to Section 451.2(c) and Section 850 et seq.(U39E).","ALJ: Robert Haga (Assigned May 8, 2020)COMMISSIONER: Marybel Batjer (Assigned May 8, 2020)"
"A2004013","PACIFIC GAS AND ELECTRIC COMPANY","Electric","April 15, 2020","Ratesetting","ACTIVE","Application of Pacific Gas and Electric Company (U39E) for Approval and Recovery of Oakland Clean Energy Initiative Preferred Portfolio Procurement Costs. ","ALJ: Cathleen A. Fogel (Assigned Apr 23, 2020)COMMISSIONER: Genevieve Shiroma (Assigned May 8, 2020)"
"A2004001","Bear Valley Electric Service","Electric","April 1, 2020","Ratesetting","ACTIVE","Application of Golden State Water Company on Behalf of its Bear Valley Electric Service Division (U913E), for Approval of Recorded CEMA Costs and Recovery of the Costs in Rates.","ALJ: Camille Watts-Zagha (Assigned May 8, 2020)COMMISSIONER: Genevieve Shiroma (Assigned May 8, 2020)"
"A1911019","Pacific Gas and Electric Company","Miscellaneous","November 22, 2019","Ratesetting","ACTIVE","Application of Pacific Gas and Electric Company to Revise its Electric Marginal Costs, Revenue Allocation and Rate Design. (U39M)","ALJ: Patrick Doherty (Assigned Dec 6, 2019)COMMISSIONER: Genevieve Shiroma (Assigned Dec 6, 2019)"
"A1910001","Southern California Edison Company","Electric","October 1, 2019","Ratesetting","ACTIVE","Application of Southern California Edison Company (U338E) for Approval of Its Carbon-Free Surplus Energy Transaction with Bonneville Power Administration.","ALJ: Scarlett Liang-Uejio (Assigned Oct 25, 2019)COMMISSIONER: Genevieve Shiroma (Assigned Oct 25, 2019)"
"A1908013","Southern California Edison Company","Electric","August 30, 2019","Ratesetting","ACTIVE","Application of Southern California Edison Company (U338E) for Authority to Increase its Authorized Revenues for Electric Service in 2021, among other things, and to Reflect that Increase in Rates.","ALJ: Ehren Seybert (Assigned Sep 27, 2019)ALJ: Sophia Park (Assigned May 5, 2020)COMMISSIONER: Genevieve Shiroma (Assigned Sep 27, 2019)"
"A1908002","PacifiCorp","Electric","August 1, 2019","Ratesetting","ACTIVE","In the Matter of the Application of PacifiCorp (U901E) for Approval of its 2020 Energy Cost Adjustment Clause and Greenhouse Gas-Related Forecast and Reconciliation of Costs and Revenue.","ALJ: Ehren Seybert (Assigned Aug 16, 2019)COMMISSIONER: Martha Guzman Aceves (Assigned Aug 16, 2019)"
"A1907007","LIBERTY UTILITIES (CALPECO ELECTRIC) LLC","Electric","July 1, 2019","Ratesetting","CLOSED","Application of Liberty Utilities (CalPeco Electric) LLC (U933E) for Authority to Update Rates Pursuant to its Energy Cost Adjustment Clause and its California Climate Credit, Effective January 1, 2020.","ALJ: Manisha Lakhanpal (Assigned Aug 7, 2019)COMMISSIONER: Martha Guzman Aceves (Assigned Jul 16, 2019)"
"A1906001","Pacific Gas and Electric Company","Electric","June 3, 2019","Ratesetting","ACTIVE","Application of Pacific Gas and Electric Company for Adoption of Electric Revenue Requirements and Rates Associated with its 2020 Energy Resource Recovery Account (ERRA) and Generation Non-Bypassable Charges Forecast and Greenhouse Gas Forecast Revenue Return and Reconciliation. (U39E)","ALJ: Eric Wildgrube (Assigned Jun 14, 2019)COMMISSIONER: Martha Guzman Aceves (Assigned Jun 14, 2019)"
"A1905007","San Diego Gas & Electric Company","Electric","May 31, 2019","Ratesetting","ACTIVE","Application of San Diego Gas & Electric Company (U902E) for Approval of: (i) Contract Administration, Least-Cost Dispatch and Power Procurement Activities in 2018, (ii) Costs Related to those Activities Recorded to the Energy Resource Recovery Account and Transition Cost Balancing Account in 2018 and (iii) Costs Recorded in Related Regulatory Accounts in 2018.","ALJ: Patricia Miles (Assigned Feb 21, 2020)COMMISSIONER: Martha Guzman Aceves (Assigned Jun 14, 2019)"
